Categoria;PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;;OPER;Descricao_OPER;Tempo;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6
Montagem Estrutural;FDD-00271-801;ME1;;ME1;MONTAGEM BASE;;1;PCP ESTRUTURAL;;;43;45;47;49;51;53;55;57;58;59;24;24;24;24;39;15;15;23;23;23;23;23;23;23;23;16;23;16;23;15;15;15;15;15;15;15;15;15;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;10;10;10;25;58;59;63
;FDD-00620-801;ME2;;ME2;INSTALAÇÃO FLANGES DE ACOPLAMENTO;;2;SERRA;;;44;46;48;50;52;54;56;13;40;40;25;27;27;34;40;21;21;16;16;16;16;16;16;16;16;22;16;22;22;21;22;22;22;22;22;22;22;22;13;10;10;10;7;8;13;4;4;4;4;4;10;10;10;7;7;8;9;9;9;33;;;64
;FDPOA-60100-801;ME3;;ME3;INSTALAÇÃO PÉ DIREITO E TRAVAMENTOS;;3;LASER;;;13;13;13;13;13;13;13;;;;26;28;28;35;41;22;22;21;21;21;21;21;21;22;22;;22;;;22;;;;;;;;;;9;9;9;13;13;;13;10;10;7;8;9;9;9;13;10;13;13;7;8;;;;65
;FDD-00151-801;ME6;;ME4;MONTAGEM TETO;;4;DOBRADEIRA;;;;;;;;;;;;;27;29;29;36;60;;;22;22;22;22;22;22;;;;;;;;;;;;;;;;;13;7;8;;;;;9;9;13;13;13;8;13;;9;;;13;13;;;;42
;FDD-00245-801;ME6;;ME5;INSTALAÇÃO FERRAGEM IÇAMENTO;;5;DETALHAMENTO E FURAÇÃO;;;;;;;;;;;;;28;30;30;37;33;;;;;;;;;;;;;;;;;;;;;;;;;;13;13;;;;;13;7;;;;13;;;13;;;;;;;;66
;FDD-00480-803;ME7;;ME6;INSTALAÇÃO FERRAGEM MACAQUEAMENTO;;6;JATEAMENTO;;;;;;;;;;;;;29;31;31;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;42
;FDPOA-40134-801;ME1;;ME7;MONTAGEM PAREDES;;7;PINTURA LÍQUIDA;;;;;;;;;;;;;30;32;33;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FDC-00021-801;ME2;;ME8;PINTURA ESTRUTURAL;;8;PINTURA ELETROSTÁTICA;;;;;;;;;;;;;31;33;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FDPOA-40020-802;ME3;;ME9;ACABAMENTOS E VEDAÇÃO;;9;SOLDAGEM SUBCONJUNTO;;;;;;;;;;;;;32;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FDC-00432-801;ME6;;ME10;IÇAMENTO E JUNÇÃO DE MÓDULO;;10;MONTAGEM SUBCONJUNTO;;;;;;;;;;;;;33;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
